,sex,master_channel_a,master_channel_f,master_channel_d,master_channel_ps,master_channel_gb,master_channel_de,master_channel_g,master_channel_s,master_channel_e,master_channel_b,master_channel_dd,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain_gc,email_domain_hc,email_domain_yc,email_domain_he,email_domain_other,email_domain_ye,email_domain_lc,email_domain_mc,email_domain_ic,email_domain_ce,email_domain_oe,email_domain_ge,email_domain_oc,email_domain_ae,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month_a,reg_month_b,reg_month_c,reg_month_d,reg_month_e,reg_month_f,reg_month_g,reg_month_h,reg_month_i,reg_month_j,reg_month_k,reg_month_l,random,income_per_region,population_per_region
89,0,0,0,0,0,0,0,0,0,1,0,0,1,10.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2017,0.0,12.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,725,13621,2699499
90,0,0,0,0,0,0,0,0,0,1,0,0,1,10.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,17.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,948,12401,2032863
91,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,23.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,983,14638,2399548
92,0,0,0,0,0,0,0,0,0,1,0,0,0,10.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,32.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,993,14903,1022800
93,1,0,0,0,0,0,0,0,0,1,0,0,1,10.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,27.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,199,11589,8414240
94,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,13.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,248,18707,6663394
95,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0.0,20.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,157,14584,581078
96,1,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,15.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,717,18707,6663394
97,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,15.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,320,17102,7675217
98,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,14.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,939,11589,8414240
99,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,13.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,897,11589,8414240
100,0,0,0,0,0,0,0,0,0,1,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,20.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,908,11310,1067710
101,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,18.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,201,14584,581078
102,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,16.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,1,11589,8414240
