,sex,master_channel,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month,random,income_per_region,population_per_region
208,0,f,1.0,10.99,0.0,0,gc,1,1,2017,0.0,24.5,152.34,a,135,18707,6663394
209,0,f,1.0,10.99,0.0,0,gc,1,0,2017,0.5,15.0,152.34,a,442,17948,654214
210,1,f,1.0,10.99,0.0,1,yc,1,0,2017,0.0,17.0,152.34,a,791,19195,2207776
211,0,f,1.0,10.99,0.0,1,yc,1,0,2017,0.0,16.5,152.34,a,30,19195,2207776
212,0,d,1.0,20.99,0.0,0,gc,0,0,2017,0.0,15.5,152.34,a,707,17102,7675217
213,0,gb,1.0,2.99,0.0,1,hc,1,1,2017,0.0,27.5,152.34,a,868,18707,6663394
214,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,20.5,152.34,a,290,17102,7675217
215,1,ps,1.0,10.99,0.0,1,gc,1,1,2017,1.5,21.0,152.34,a,602,13148,5003769
216,0,d,1.0,10.99,0.0,0,hc,1,1,2017,2.25,19.0,152.34,a,422,11310,1067710
217,0,s,1.0,10.99,0.0,0,gc,1,1,2017,0.0,14.5,152.34,a,619,18707,6663394
218,0,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,19.5,152.34,a,576,14903,1022800
219,0,a,1.0,20.99,0.0,1,he,0,0,2017,12.75,13.5,152.34,a,598,18707,6663394
220,1,g,1.0,10.99,0.0,0,other,0,0,2017,0.0,32.0,152.34,a,23,11589,8414240
221,1,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,12.5,152.34,a,642,18707,6663394
222,0,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,14.5,152.34,a,590,11589,8414240
223,0,de,1.0,10.99,0.0,0,hc,1,1,2017,0.0,16.5,152.34,a,843,17102,7675217
224,0,gb,1.0,2.99,0.0,0,ye,1,1,2017,0.0,15.5,152.34,a,103,13148,5003769
225,0,a,1.0,10.99,0.0,1,gc,1,1,2017,0.0,17.0,152.34,a,410,18707,6663394
226,1,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,18.0,152.34,a,892,18707,6663394
227,0,s,1.0,10.99,0.0,0,hc,1,1,2017,0.0,11.5,152.34,a,513,18707,6663394
228,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,14.5,152.34,a,751,18707,6663394
229,0,a,1.0,10.99,0.0,0,hc,1,1,2017,0.0,17.5,152.34,a,435,12401,2032863
230,0,d,1.0,20.99,0.0,0,other,0,1,2017,0.0,12.0,152.34,a,371,17102,7675217
231,1,g,1.0,0.0,0.0,0,gc,0,0,2017,0.0,18.0,152.34,a,251,13148,5003769
232,1,a,1.0,10.99,0.0,1,hc,1,0,2017,0.0,20.0,152.34,a,693,14584,581078
233,1,f,1.0,10.99,0.0,1,ce,1,0,2017,0.0,14.0,152.34,a,944,11589,8414240
234,0,a,1.0,10.99,0.0,1,oe,1,0,2017,0.0,17.0,152.34,a,759,13148,5003769
235,0,f,1.0,10.99,0.0,1,ce,1,0,2017,0.0,18.5,152.34,a,546,11589,8414240
236,1,f,1.0,10.99,0.0,1,ce,1,0,2017,0.0,17.0,152.34,a,344,11589,8414240
237,1,f,1.0,10.99,0.0,1,gc,1,1,2017,0.25,12.5,152.34,a,471,11589,8414240
238,0,g,1.0,0.0,0.0,1,hc,0,0,2017,0.0,17.0,152.34,a,217,13148,5003769
